day,IS_MEMBER,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION,year_month,dayofweek,weeknum
2020-11-28,false,2848,33.514747191,1,1410,49.0063032685434,2020-11,6,48
2020-11-28,true,4281,15.538659192,1,605,16.6831349512572,2020-11,6,48
2020-11-29,false,1795,25.759888579,1,1075,37.409050429362452,2020-11,7,48
2020-11-29,true,3556,13.802024747,1,300,15.27053215365645,2020-11,7,48
2020-11-30,false,650,16.029230769,1,189,20.518001275254882,2020-11,1,49
2020-11-30,true,3229,10.228553732,1,372,11.141969728136452,2020-11,1,49
2020-12-01,false,752,18.638297872,1,1138,47.342510711906876,2020-12,2,49
2020-12-01,true,3689,10.815397127,1,485,12.905827824096084,2020-12,2,49
2020-12-02,false,1072,20.202425373,1,412,28.447173378422729,2020-12,3,49
2020-12-02,true,4300,11.647906977,1,609,14.046376104382414,2020-12,3,49
2020-12-03,false,1149,19.161879896,1,409,29.4540678884584,2020-12,4,49
2020-12-03,true,4189,11.945810456,1,317,13.053123356357695,2020-12,4,49
2020-12-04,false,1391,21.553558591,1,1028,37.710804656486253,2020-12,5,49
2020-12-04,true,4664,12.673241852,1,1035,23.355877262435246,2020-12,5,49
2020-12-05,false,1790,23.396089385,1,1212,40.293630175894883,2020-12,6,49
2020-12-05,true,4186,12.978499761,1,1369,24.79976219089442,2020-12,6,49
2020-12-06,false,1150,24.667826087,1,1411,53.774756560120188,2020-12,7,49
2020-12-06,true,3087,12.670229997,1,202,11.957682296377595,2020-12,7,49
2020-12-07,false,858,19.342657343,1,219,24.245953660955593,2020-12,1,50
2020-12-07,true,3769,11.299018307,1,191,10.667183559198243,2020-12,1,50
2020-12-08,false,802,16.407730673,1,295,18.060568367658714,2020-12,2,50
2020-12-08,true,3862,11.373381668,1,1046,19.818542335639481,2020-12,2,50
2020-12-09,false,1475,22.925423729,1,1178,41.062414639264631,2020-12,3,50
2020-12-09,true,5096,12.816718995,1,930,17.772584497524953,2020-12,3,50
2020-12-10,false,1969,23.549517522,1,1381,43.558728573762863,2020-12,4,50
2020-12-10,true,5593,13.672805292,1,1242,29.976846759136784,2020-12,4,50
2020-12-11,false,713,18.373071529,1,894,37.741030216648269,2020-12,5,50
2020-12-11,true,3111,11.032144005,1,286,11.819204656577975,2020-12,5,50
2020-12-12,false,543,18.861878453,1,201,23.4776113280749,2020-12,6,50
2020-12-12,true,1899,11.228541338,1,956,23.78270523906853,2020-12,6,50
2020-12-13,false,1421,24.622800844,1,1131,53.317116047796645,2020-12,7,50
2020-12-13,true,3299,14.405274326,1,1174,31.762995603882558,2020-12,7,50
2020-12-14,false,818,15.887530562,1,180,16.916653619924322,2020-12,1,51
2020-12-14,true,3541,10.975713075,1,192,9.4226425985396958,2020-12,1,51
2020-12-15,false,763,16.279161206,1,266,21.750929498017964,2020-12,2,51
2020-12-15,true,3591,11.138958507,1,816,20.188278771374122,2020-12,2,51
2020-12-16,false,652,18.878834356,1,729,38.592996359008289,2020-12,3,51
2020-12-16,true,3098,11.112330536,1,364,12.679096690620373,2020-12,3,51
2020-12-17,false,710,18.477464789,1,197,22.177362504527242,2020-12,4,51
2020-12-17,true,3257,11.398833282,1,874,22.015701235256984,2020-12,4,51
2020-12-18,false,1062,20.607344633,1,568,32.846146840264637,2020-12,5,51
2020-12-18,true,3888,11.883487654,1,360,12.459153632387887,2020-12,5,51
2020-12-19,false,1488,26.442204301,1,1376,63.26167615871298,2020-12,6,51
2020-12-19,true,3580,12.569273743,1,184,11.20992950844396,2020-12,6,51
2020-12-20,false,1343,29.148175726,1,1284,65.724075818847723,2020-12,7,51
2020-12-20,true,2931,13.534288639,1,302,13.705775366628538,2020-12,7,51
2020-12-21,false,1077,21.894150418,1,932,37.022289117529994,2020-12,1,52
2020-12-21,true,3536,12.113687783,1,1340,24.738578295518842,2020-12,1,52
2020-12-22,false,1078,21.358070501,1,1218,44.278212443646339,2020-12,2,52
2020-12-22,true,3731,12.676226213,1,955,26.3622928718976,2020-12,2,52
2020-12-23,false,1049,21.312678742,1,187,25.0617434189269,2020-12,3,52
2020-12-23,true,3420,12.219590643,1,318,14.033961391818313,2020-12,3,52
2020-12-24,false,263,16.353612167,1,411,30.665006751075438,2020-12,4,52
2020-12-24,true,1346,10.135958395,1,337,13.56833236255639,2020-12,4,52
2020-12-25,false,264,31.397727273,1,765,72.016918220555823,2020-12,5,52
2020-12-25,true,577,12.47660312,1,138,13.224231614959365,2020-12,5,52
2020-12-26,false,690,33.707246377,1,1236,101.95229677184933,2020-12,6,52
2020-12-26,true,1674,13.419354839,1,892,25.603348012561661,2020-12,6,52
2020-12-27,false,1137,29.631486368,1,1421,66.661081072877778,2020-12,7,52
2020-12-27,true,2316,14.254749568,1,196,15.118896915302942,2020-12,7,52
2020-12-28,false,742,24.739892183,1,1069,58.644306764521829,2020-12,1,53
2020-12-28,true,2877,13.279457769,1,1298,39.64590979342848,2020-12,1,53
2020-12-29,false,537,20.664804469,1,500,29.476679062852902,2020-12,2,53
2020-12-29,true,2075,12.037590361,1,1097,26.269126759366522,2020-12,2,53
2020-12-30,false,311,24.54340836,1,1020,62.893089606218886,2020-12,3,53
2020-12-30,true,1518,11.789855072,1,65,9.398229718935303,2020-12,3,53
2020-12-31,false,555,25.731531532,1,1229,62.83140601911672,2020-12,4,53
2020-12-31,true,2120,12.922169811,1,260,13.759836241944392,2020-12,4,53
2021-01-01,false,270,23.318518519,1,810,62.104112329020396,2021-1,5,53
2021-01-01,true,776,12.469072165,1,313,15.789581981139403,2021-1,5,53
2021-01-02,false,537,27.089385475,1,1403,66.157389639445512,2021-1,6,53
2021-01-02,true,1713,13.027437245,1,422,16.417418996208976,2021-1,6,53
2021-01-03,false,570,22.622807018,1,190,26.047052684020919,2021-1,7,53
2021-01-03,true,1774,12.384441939,1,193,12.68621855642118,2021-1,7,53
2021-01-04,false,520,17.190384615,1,142,18.9475060223623,2021-1,1,1
2021-01-04,true,2633,14.051652108,1,1398,53.302029353479014,2021-1,1,1
2021-01-05,false,635,20.875590551,1,1164,52.179145857770855,2021-1,2,1
2021-01-05,true,3161,11.613097121,1,331,11.551075220384192,2021-1,2,1
2021-01-06,false,694,23.760806916,1,1311,83.583745420292885,2021-1,3,1
2021-01-06,true,3135,13.812440191,1,1352,43.695844914425187,2021-1,3,1
2021-01-07,false,733,17.708049113,1,1122,44.963248938771322,2021-1,4,1
2021-01-07,true,3089,11.826804791,1,333,15.182821780879253,2021-1,4,1
2021-01-08,false,679,20.306332842,1,962,45.6907753871265,2021-1,5,1
2021-01-08,true,3146,12.444055944,1,1040,26.113490470760176,2021-1,5,1
2021-01-09,false,1387,29.296322999,1,1360,77.9056849936122,2021-1,6,1
2021-01-09,true,3495,13.441773963,1,493,15.834099681790697,2021-1,6,1
2021-01-10,false,836,20.34569378,1,592,29.356477047056636,2021-1,7,1
2021-01-10,true,2421,12.353572904,1,194,13.146952310614513,2021-1,7,1
2021-01-11,false,525,18.561904762,1,304,25.92197957223388,2021-1,1,2
2021-01-11,true,2808,11.59045584,1,790,27.962435527809632,2021-1,1,2
2021-01-12,false,707,19.289957567,1,1157,48.6588382940687,2021-1,2,2
2021-01-12,true,3427,11.620367669,1,211,10.291138322129346,2021-1,2,2
2021-01-13,false,759,17.035573123,1,278,20.91081631989254,2021-1,3,2
2021-01-13,true,3645,12.192318244,1,1135,21.434675603323424,2021-1,3,2
2021-01-14,false,563,20.14920071,1,402,29.595900871306938,2021-1,4,2
2021-01-14,true,3006,10.879574185,1,307,11.534126024917025,2021-1,4,2
2021-01-15,false,802,21.416458853,1,1009,50.247428970382096,2021-1,5,2
2021-01-15,true,3281,11.93934776,1,322,14.192701420338905,2021-1,5,2
2021-01-16,false,845,26.655621302,1,1052,67.805471718941575,2021-1,6,2
2021-01-16,true,2407,14.444536768,1,1012,37.964026144774259,2021-1,6,2
2021-01-17,false,606,18.99339934,1,172,20.129611932754688,2021-1,7,2
2021-01-17,true,1908,13.697589099,1,1093,33.544008054611595,2021-1,7,2
2021-01-18,false,611,21.973813421,1,412,33.708716182449791,2021-1,1,3
2021-01-18,true,2926,11.393369788,1,201,10.425044627888585,2021-1,1,3
2021-01-19,false,369,15.132791328,1,121,15.536345465387624,2021-1,2,3
2021-01-19,true,2716,10.620029455,1,412,13.207445773416904,2021-1,2,3
2021-01-20,false,365,17.191780822,1,1204,63.543461027035875,2021-1,3,3
2021-01-20,true,2291,11.790484505,1,1226,30.384136265575549,2021-1,3,3
2021-01-21,false,677,21.223042836,1,1081,53.123018799192657,2021-1,4,3
2021-01-21,true,3460,11.869653179,1,267,12.383377512134523,2021-1,4,3
2021-01-22,false,479,17.818371608,1,991,49.788680755544881,2021-1,5,3
2021-01-22,true,2599,10.65409773,1,262,13.148514354348221,2021-1,5,3
2021-01-23,false,789,19.835234474,1,267,24.221531981076147,2021-1,6,3
2021-01-23,true,2714,11.947678703,1,170,11.634994263707984,2021-1,6,3
2021-01-24,false,700,23.484285714,1,1244,65.8666057502679,2021-1,7,3
2021-01-24,true,2282,12.598159509,1,312,16.800297776433474,2021-1,7,3
2021-01-25,false,399,16.704260652,1,329,29.422558935756264,2021-1,1,4
2021-01-25,true,2605,13.770441459,1,1404,58.318454373675578,2021-1,1,4
2021-01-26,false,145,17.882758621,1,236,26.196473426326275,2021-1,2,4
2021-01-26,true,1106,13.726943942,1,835,32.342923196513816,2021-1,2,4
2021-01-27,false,236,16.716101695,1,176,23.540622913935369,2021-1,3,4
2021-01-27,true,1982,13.13975782,1,754,32.002603696134848,2021-1,3,4
2021-01-28,false,336,19.455357143,1,1054,59.686166598348251,2021-1,4,4
2021-01-28,true,2224,11.677607914,1,289,14.531159847312217,2021-1,4,4
2021-01-29,false,551,17.858439201,1,391,27.189759944504292,2021-1,5,4
2021-01-29,true,2668,12.721889055,1,823,27.242907840681713,2021-1,5,4
2021-01-30,false,385,19.197402597,1,274,24.631992574466334,2021-1,6,4
2021-01-30,true,1795,12.860724234,1,376,15.420154323613772,2021-1,6,4
2021-01-31,false,105,48.504761905,1,1347,169.37454263144144,2021-1,7,4
2021-01-31,true,370,20.075675676,1,1016,66.460715506414331,2021-1,7,4
2021-02-01,false,252,20.619047619,1,269,29.421096292107787,2021-2,1,5
2021-02-01,true,1516,15.346965699,1,589,25.435954753519628,2021-2,1,5
2021-02-02,false,282,24.163120567,1,1343,83.609793117527062,2021-2,2,5
2021-02-02,true,1981,13.516405856,1,782,26.850707308994341,2021-2,2,5
2021-02-03,false,356,18.623595506,1,257,25.7381783596778,2021-2,3,5
2021-02-03,true,2306,14.094102342,1,479,20.789997968282314,2021-2,3,5
2021-02-04,false,197,16.086294416,1,141,17.144582692800469,2021-2,4,5
2021-02-04,true,1504,12.23337766,1,247,14.305488374535454,2021-2,4,5
2021-02-05,false,137,22.737226277,1,344,45.97512340242826,2021-2,5,5
2021-02-05,true,1124,17.269572954,1,1112,57.906902515091964,2021-2,5,5
2021-02-06,false,113,30.469026549,1,1309,122.36244368561829,2021-2,6,5
2021-02-06,true,699,17.380543634,1,1029,54.169167219404471,2021-2,6,5
2021-02-07,false,77,26.415584416,2,486,64.703790741708247,2021-2,7,5
2021-02-07,true,475,21.025263158,1,1222,88.254771117094563,2021-2,7,5
2021-02-08,false,81,42.62962963,1,984,118.27154823576569,2021-2,1,6
2021-02-08,true,822,17.635036496,1,845,62.214100456072487,2021-2,1,6
2021-02-09,false,138,31.884057971,1,1138,98.86252147122697,2021-2,2,6
2021-02-09,true,1121,12.892952721,1,727,25.41177658546723,2021-2,2,6
2021-02-10,false,143,25.370629371,1,496,51.388235480095425,2021-2,3,6
2021-02-10,true,1075,15.911627907,1,1249,54.965719588740562,2021-2,3,6
2021-02-11,false,176,18.857954545,1,171,26.675815662705819,2021-2,4,6
2021-02-11,true,1155,16.522943723,1,1107,47.062159705893016,2021-2,4,6
2021-02-12,false,287,25.153310105,1,388,40.855965849422788,2021-2,5,6
2021-02-12,true,1496,13.915106952,1,1071,32.147785190205873,2021-2,5,6
2021-02-13,false,135,35.555555556,1,1094,104.41148416094543,2021-2,6,6
2021-02-13,true,565,18.251327434,1,986,59.968787036189937,2021-2,6,6
