YEAR_MONTH,QUARTER,DAYOFWEEK,day,IS_MEMBER,AVG_DURATION,COUNT
2021-3,1,3,2021-03-23,false,25.840714286,1400
2021-3,1,4,2021-03-24,false,28.550096712,2585
2021-3,1,5,2021-03-25,false,27.651534527,1564
2021-3,1,6,2021-03-26,false,24.328961749,1830
2021-3,1,7,2021-03-27,false,38.550198255,6305
2021-3,1,1,2021-03-28,false,34.796615385,3250
2021-3,1,2,2021-03-29,false,42.049550945,3229
2021-3,1,3,2021-03-30,false,40.276686593,3513
2021-3,1,4,2021-03-31,false,26.4,1765
2021-4,2,5,2021-04-01,false,24.208819715,1542
2021-4,2,6,2021-04-02,false,62.673076923,3536
2021-4,2,7,2021-04-03,false,42.943483801,10988
2021-4,2,1,2021-04-04,false,57.100225687,9748
2021-4,2,2,2021-04-05,false,46.643984879,4497
2021-4,2,3,2021-04-06,false,50.591631908,7672
2021-4,2,4,2021-04-07,false,48.382769035,6291
2021-4,2,5,2021-04-08,false,26.428762542,1495
2021-4,2,6,2021-04-09,false,49.550572896,5062
2021-4,2,7,2021-04-10,false,31.165849309,2243
2021-4,2,1,2021-04-11,false,33.518613861,5050
2021-4,2,2,2021-04-12,false,32.839179008,3849
2021-4,2,3,2021-04-13,false,28.850476503,3043
2021-4,2,4,2021-04-14,false,29.236830257,2221
2021-4,2,5,2021-04-15,false,23.807416268,2508
2021-4,2,6,2021-04-16,false,35.644825919,4136
2021-4,2,7,2021-04-17,false,34.398955462,6893
2021-4,2,1,2021-04-18,false,34.927797834,6371
2021-4,2,2,2021-04-19,false,24.316176471,1768
2021-4,2,3,2021-04-20,false,21.329322356,1579
2021-4,2,4,2021-04-21,false,27.533998752,1603
2021-4,2,5,2021-04-22,false,25.467790987,3617
2021-4,2,6,2021-04-23,false,34.058845862,5268
2021-4,2,7,2021-04-24,false,30.647460404,7324
2021-4,2,1,2021-04-25,false,27.902837259,3736
2021-4,2,2,2021-04-26,false,36.579608939,5728
2021-4,2,3,2021-04-27,false,36.648295309,7802
2021-4,2,4,2021-04-28,false,22.725326992,1682
2021-4,2,5,2021-04-29,false,24.184700883,3059
2021-4,2,6,2021-04-30,false,28.758523953,4634
2021-5,2,7,2021-05-01,false,43.020034222,14026
2021-5,2,1,2021-05-02,false,52.634035326,14720
2021-5,2,2,2021-05-03,false,29.882828283,3465
2021-5,2,3,2021-05-04,false,27.03803132,2682
2021-5,2,4,2021-05-05,false,26.097868217,4128
2021-5,2,5,2021-05-06,false,23.58719791,3062
2021-5,2,6,2021-05-07,false,32.681615184,5374
2021-5,2,7,2021-05-08,false,40.241093729,7607
2021-5,2,1,2021-05-09,false,42.177749361,3128
2021-5,2,2,2021-05-10,false,24.921088435,2940
2021-5,2,3,2021-05-11,false,27.752432742,3494
2021-5,2,4,2021-05-12,false,26.000446728,4477
2021-5,2,5,2021-05-13,false,32.365864869,6527
2021-5,2,6,2021-05-14,false,36.469725343,9612
2021-5,2,7,2021-05-15,false,35.695110259,8344
2021-5,2,1,2021-05-16,false,46.110139603,13610
2021-5,2,2,2021-05-17,false,33.578965167,5914
2021-5,2,3,2021-05-18,false,27.893210283,4551
2021-5,2,4,2021-05-19,false,31.777606838,5850
2021-5,2,5,2021-05-20,false,36.334338022,8958
2021-5,2,6,2021-05-21,false,36.78392,12500
2021-5,2,7,2021-05-22,false,41.258478671,21731
2021-5,2,1,2021-05-23,false,44.572627502,12392
2021-5,2,2,2021-05-24,false,44.491637274,8789
2021-5,2,3,2021-05-25,false,34.099711362,7622
2021-5,2,4,2021-05-26,false,35.683339288,8397
2021-5,2,5,2021-05-27,false,29.787078934,3978
2021-5,2,6,2021-05-28,false,20.125098348,2542
2021-5,2,7,2021-05-29,false,33.93506391,12674
2021-5,2,1,2021-05-30,false,43.894537526,17428
2021-5,2,2,2021-05-31,false,40.066281971,12824
2021-6,2,3,2021-06-01,false,40.804045966,8354
2021-6,2,4,2021-06-02,false,42.080503766,8099
2021-6,2,5,2021-06-03,false,36.937299642,10606
2021-6,2,6,2021-06-04,false,39.335065539,12893
2021-6,2,7,2021-06-05,false,49.264410807,22726
2021-6,2,1,2021-06-06,false,44.976129143,17469
2021-6,2,2,2021-06-07,false,31.865826145,7535
2021-6,2,3,2021-06-08,false,31.508029197,9590
2021-6,2,4,2021-06-09,false,41.722478333,10846
2021-6,2,5,2021-06-10,false,36.353527672,11835
2021-6,2,6,2021-06-11,false,40.417438417,15873
2021-6,2,7,2021-06-12,false,38.621501866,21440
2021-6,2,1,2021-06-13,false,41.867283377,21512
2021-6,2,2,2021-06-14,false,32.203307749,10944
2021-6,2,3,2021-06-15,false,36.948036197,10719
2021-6,2,4,2021-06-16,false,33.361604786,11366
2021-6,2,5,2021-06-17,false,35.378398,12397
2021-6,2,6,2021-06-18,false,31.726867854,15044
2021-6,2,7,2021-06-19,false,38.38281459,22426
2021-6,2,1,2021-06-20,false,44.199692283,12349
2021-6,2,2,2021-06-21,false,30.83774624,9442
2021-6,2,3,2021-06-22,false,30.129178668,11457
2021-6,2,4,2021-06-23,false,27.878285326,10311
2021-6,2,5,2021-06-24,false,27.682706767,5985
2021-6,2,6,2021-06-25,false,32.945450098,8176
2021-6,2,7,2021-06-26,false,36.269201807,7968
2021-6,2,1,2021-06-27,false,38.549682492,16535
2021-6,2,2,2021-06-28,false,26.50671901,6623
2021-6,2,3,2021-06-29,false,27.063670412,7209
2021-6,2,4,2021-06-30,false,26.274197971,7294
2021-7,3,5,2021-07-01,false,29.73703935,11207
2021-7,3,6,2021-07-02,false,31.810784963,13593
2021-7,3,7,2021-07-03,false,39.326825605,21308
2021-7,3,1,2021-07-04,false,43.529283503,22931
2021-7,3,2,2021-07-05,false,45.953612578,16664
2021-7,3,3,2021-07-06,false,28.572358582,11367
2021-7,3,4,2021-07-07,false,29.450504474,10506
2021-7,3,5,2021-07-08,false,43.089614015,10389
2021-7,3,6,2021-07-09,false,34.13060478,15857
2021-7,3,7,2021-07-10,false,35.102691924,15045
2021-7,3,1,2021-07-11,false,29.711036226,7122
2021-7,3,2,2021-07-12,false,33.21511162,8735
2021-7,3,3,2021-07-13,false,28.460407918,10002
2021-7,3,4,2021-07-14,false,28.401480589,11617
2021-7,3,5,2021-07-15,false,26.90646713,9355
2021-7,3,6,2021-07-16,false,31.242917059,11683
2021-7,3,7,2021-07-17,false,32.887621589,23234
2021-7,3,1,2021-07-18,false,36.015652613,19805
2021-7,3,2,2021-07-19,false,32.333096843,11276
2021-7,3,3,2021-07-20,false,26.907900157,12139
2021-7,3,4,2021-07-21,false,26.447463608,11335
2021-7,3,5,2021-07-22,false,27.044236603,11868
2021-7,3,6,2021-07-23,false,28.686391844,13536
2021-7,3,7,2021-07-24,false,33.590971481,19671
2021-7,3,1,2021-07-25,false,32.282617912,18870
2021-7,3,2,2021-07-26,false,29.868915223,10970
2021-7,3,3,2021-07-27,false,28.076507092,11280
2021-7,3,4,2021-07-28,false,29.63535823,12478
2021-7,3,5,2021-07-29,false,26.919413366,13228
2021-7,3,6,2021-07-30,false,27.468492814,16282
2021-7,3,7,2021-07-31,false,33.723442899,22574
2021-8,3,1,2021-08-01,false,34.911942292,18715
2021-8,3,2,2021-08-02,false,28.436437613,11060
2021-8,3,3,2021-08-03,false,29.577527292,11267
2021-8,3,4,2021-08-04,false,26.216384528,11401
2021-8,3,5,2021-08-05,false,25.82435162,12377
2021-8,3,6,2021-08-06,false,29.182811619,14184
2021-8,3,7,2021-08-07,false,30.341758046,22434
2021-8,3,1,2021-08-08,false,32.290266233,16602
2021-8,3,2,2021-08-09,false,27.482962168,7454
