DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2020-11-25,true,electric_bike,10.839958159,956
2020-11-26,false,docked_bike,40.905688623,668
2020-11-26,true,docked_bike,14.70890411,1460
2020-11-26,false,electric_bike,21.077669903,515
2020-11-26,true,electric_bike,12.820945946,888
2020-11-27,false,docked_bike,39.761710794,982
2020-11-27,true,docked_bike,15.436588599,2263
2020-11-27,false,electric_bike,19.881899872,779
2020-11-27,true,electric_bike,12.90228013,1228
2020-11-28,false,docked_bike,45.704307334,1718
2020-11-28,true,docked_bike,16.650344577,2757
2020-11-28,false,electric_bike,25.845206684,1137
2020-11-28,true,electric_bike,14.501639344,1525
2020-11-29,false,docked_bike,33.636986301,1022
2020-11-29,true,docked_bike,15.306068602,2274
2020-11-29,false,electric_bike,18.772609819,774
2020-11-29,true,electric_bike,12.293842557,1283
2020-11-30,false,docked_bike,19.137184116,277
2020-11-30,true,docked_bike,10.616418627,2083
2020-11-30,false,electric_bike,13.721179625,373
2020-11-30,true,electric_bike,9.523560209,1146
2020-12-01,false,docked_bike,31.969444444,360
2020-12-01,true,docked_bike,11.381486094,2409
2020-12-01,false,electric_bike,14.142493639,393
2020-12-01,true,electric_bike,9.75,1280
2020-12-02,false,classic_bike,30.75,40
2020-12-02,true,classic_bike,11.565891473,258
2020-12-02,false,docked_bike,24.397660819,513
2020-12-02,true,docked_bike,12.623405851,2666
2020-12-02,false,electric_bike,15.242774566,519
2020-12-02,true,electric_bike,10.854756718,1377
2020-12-03,false,classic_bike,24,98
2020-12-03,true,classic_bike,12.293594306,562
2020-12-03,false,docked_bike,27.542619543,481
2020-12-03,true,docked_bike,12.814265864,2159
2020-12-03,false,electric_bike,13.863397548,571
2020-12-03,true,electric_bike,11.548672566,1469
2020-12-04,false,classic_bike,21.136363636,528
2020-12-04,true,classic_bike,13.597871532,2631
2020-12-04,false,docked_bike,46.72815534,206
2020-12-04,true,docked_bike,13.021598272,463
2020-12-04,false,electric_bike,16.223404255,658
2020-12-04,true,electric_bike,11.968173138,1571
2020-12-05,false,classic_bike,23.336633663,808
2020-12-05,true,classic_bike,13.47086845,2729
2020-12-05,false,docked_bike,82.917647059,255
2020-12-05,false,electric_bike,16.453424658,730
2020-12-05,true,electric_bike,12.056280027,1457
2020-12-06,false,classic_bike,30.517316017,462
2020-12-06,true,classic_bike,13.748380668,2007
2020-12-06,false,docked_bike,55.832402235,179
2020-12-06,false,electric_bike,16.906066536,511
2020-12-06,true,electric_bike,12.043478261,1081
2020-12-07,false,classic_bike,25.215568862,334
2020-12-07,true,classic_bike,11.300548589,2552
2020-12-07,false,docked_bike,37.527777778,72
2020-12-07,false,electric_bike,15.388520971,453
2020-12-07,true,electric_bike,11.295809367,1217
2020-12-08,false,classic_bike,15.331325301,332
2020-12-08,true,classic_bike,11.714176245,2610
2020-12-08,false,docked_bike,28.558823529,68
2020-12-08,false,electric_bike,15.241293532,402
2020-12-08,true,electric_bike,10.662939297,1252
2020-12-09,false,classic_bike,26.731343284,670
2020-12-09,true,classic_bike,13.245475113,3536
2020-12-09,false,docked_bike,41.935897436,156
2020-12-09,false,electric_bike,16.672307692,650
2020-12-09,true,electric_bike,12.797565663,1561
2020-12-10,false,classic_bike,25.188405797,828
2020-12-10,true,classic_bike,14.357523471,3941
2020-12-10,false,docked_bike,45.94,250
2020-12-10,false,electric_bike,17.406950673,892
2020-12-10,true,electric_bike,12.938898972,1653
2020-12-11,false,classic_bike,18.2,265
2020-12-11,true,classic_bike,11.955533597,2024
2020-12-11,false,docked_bike,39.446153846,65
2020-12-11,false,electric_bike,14.916449086,383
2020-12-11,true,electric_bike,10.681985294,1088
2020-12-12,false,classic_bike,19.644444444,225
2020-12-12,true,classic_bike,11.719111111,1125
2020-12-12,false,docked_bike,34.428571429,70
2020-12-12,false,electric_bike,13.758064516,248
2020-12-12,true,electric_bike,10.515503876,774
2020-12-13,false,classic_bike,34.649517685,622
2020-12-13,true,classic_bike,15.887528345,2205
2020-12-13,false,docked_bike,273.278145695,151
2020-12-13,false,electric_bike,16.922256098,656
2020-12-13,true,electric_bike,12.776255708,1095
2020-12-14,false,classic_bike,20.287037037,324
2020-12-14,true,classic_bike,10.866523605,2330
2020-12-14,false,docked_bike,27.913043478,92
2020-12-14,false,electric_bike,13.285359801,403
2020-12-14,true,electric_bike,11.185796862,1211
2020-12-15,false,classic_bike,17.9125,320
2020-12-15,true,classic_bike,11.231176231,2457
2020-12-15,false,docked_bike,95.314285714,70
2020-12-15,false,electric_bike,12.70855615,374
2020-12-15,true,electric_bike,10.939153439,1134
2020-12-16,false,classic_bike,19.528455285,246
2020-12-16,true,classic_bike,11.013058764,1991
2020-12-16,false,docked_bike,51.844827586,58
2020-12-16,false,electric_bike,12.925287356,348
2020-12-16,true,electric_bike,11.290876242,1107
2020-12-17,false,classic_bike,23.97972973,296
2020-12-17,true,classic_bike,11.809862494,2109
2020-12-17,false,docked_bike,36.865671642,67
2020-12-17,false,electric_bike,14.511494253,348
2020-12-17,true,electric_bike,10.643728223,1148
2020-12-18,false,classic_bike,24.939393939,462
2020-12-18,true,classic_bike,12.536135114,2546
2020-12-18,false,docked_bike,42.788235294,85
2020-12-18,false,electric_bike,15.939922481,516
2020-12-18,true,electric_bike,11.753536858,1343
2020-12-19,false,classic_bike,29.968152866,628
2020-12-19,true,classic_bike,12.88132137,2452
2020-12-19,false,docked_bike,50.664150943,265
2020-12-19,false,electric_bike,16.914572864,597
2020-12-19,true,electric_bike,11.890957447,1128
2020-12-20,false,classic_bike,30.555752212,565
2020-12-20,true,classic_bike,13.665258712,1894
