station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
TA1309000006,6,16,true,12,5,-7,41.91809,-87.64375
TA1307000163,6,16,true,10,10,0,41.91821,-87.65696
13146,6,16,true,26,19,-7,41.91831,-87.63629
13059,6,16,true,20,18,-2,41.91845,-87.65222
13259,6,16,true,3,6,3,41.91852,-87.69744
13192,6,16,true,5,12,7,41.91995,-87.64884
13288,6,16,true,7,4,-3,41.92008,-87.67788
TA1309000030,6,16,true,6,5,-1,41.92077,-87.66372
13292,6,16,true,3,7,4,41.92152,-87.70733
TA1309000033,6,16,true,9,10,1,41.92158,-87.65381
13193,6,16,true,23,26,3,41.92182,-87.64412
13191,6,16,true,16,14,-2,41.92217,-87.63891
13084,6,16,true,6,8,2,41.92268,-87.69715
LP-,6,16,true,7,11,4,41.92396,-87.63584
TA1307000001,6,16,true,10,4,-6,41.92535,-87.66581
TA1306000026,6,16,true,8,5,-3,41.92558,-87.65842
TA1306000016,6,16,true,7,7,0,41.9256,-87.65371
TA1309000019,6,16,true,16,13,-3,41.92586,-87.63897
TA1309000058,6,16,true,9,17,8,41.92591,-87.64927
TA1308000001,6,16,true,32,16,-16,41.92627,-87.63086
TA1309000023,6,16,true,8,11,3,41.9287,-87.65383
TA1307000113,6,16,true,9,7,-2,41.92878,-87.66391
TA1309000061,6,16,true,12,9,-3,41.92915,-87.64909
TA1305000014,6,16,true,13,13,0,41.92956,-87.64313
13085,6,16,true,8,7,-1,41.92958,-87.70789
TA1307000142,6,16,true,9,9,0,41.93125,-87.64432
13276,6,16,true,19,17,-2,41.93132,-87.63874
13271,6,16,true,7,3,-4,41.93192,-87.67784
TA1307000064,6,16,true,13,16,3,41.93222,-87.65864
TA1306000014,6,16,true,8,10,2,41.93242,-87.65271
TA1309000039,6,16,true,20,13,-7,41.93258,-87.63642
13294,6,16,true,4,7,3,41.9326,-87.66595
TA1309000036,6,16,true,9,7,-2,41.93313,-87.64776
TA1307000006,6,16,true,10,5,-5,41.93571,-87.6636
TA1307000052,6,16,true,19,10,-9,41.93628,-87.65266
TA1307000136,6,16,true,8,6,-2,41.9365,-87.64755
TA1307000041,6,16,true,11,11,0,41.93669,-87.63683
13137,6,16,true,15,18,3,41.9376,-87.6441
TA1309000042,6,16,true,11,8,-3,41.93937,-87.66836
13229,6,16,true,4,7,3,41.93946,-87.66376
TA1308000019,6,16,true,9,9,0,41.93973,-87.65886
13277,6,16,true,6,9,3,41.9401,-87.64546
TA1307000134,6,16,true,16,23,7,41.94016,-87.65303
TA1309000049,6,16,true,13,15,2,41.94077,-87.63919
TA1307000138,6,16,true,5,6,1,41.94334,-87.67094
13144,6,16,true,3,6,3,41.9434,-87.67964
TA1309000025,6,16,true,12,11,-1,41.94368,-87.64894
13071,6,16,true,14,15,1,41.94373,-87.66401
632,6,16,true,16,18,2,41.94453,-87.6547
13278,6,16,true,15,11,-4,41.94553,-87.64644
15632,6,16,true,4,5,1,41.94664,-87.69463
13235,6,16,true,21,12,-9,41.94814,-87.66396
13325,6,16,true,17,14,-3,41.94907,-87.64863
TA1307000126,6,16,true,11,24,13,41.94936,-87.65451
TA1307000150,6,16,true,15,11,-4,41.94945,-87.64646
TA1307000127,6,16,true,11,3,-8,41.9508,-87.65918
13323,6,16,true,7,7,0,41.95282,-87.65
13063,6,16,true,4,18,14,41.95424,-87.65441
TA1308000022,6,16,true,11,6,-5,41.95438,-87.64805
TA1307000149,6,16,true,2,5,3,41.95467,-87.67392
TA1309000026,6,16,true,3,7,4,41.95601,-87.6802
13379,6,16,true,13,13,0,41.95786,-87.6495
TA1309000027,6,16,true,6,12,6,41.9585,-87.65499
13389,6,16,true,5,8,3,41.961,-87.64958
KA1503000022,6,16,true,6,4,-2,41.96158,-87.66609
TA1307000107,6,16,true,17,11,-6,41.96164,-87.65464
TA1307000156,6,16,true,4,9,5,41.96301,-87.68479
TA1308000012,6,16,true,28,28,0,41.96398,-87.63818
13074,6,16,true,6,6,0,41.96521,-87.6582
639,6,16,true,7,2,-5,41.96584,-87.64538
TA1307000140,6,16,true,6,7,1,41.96643,-87.68865
TA1309000014,6,16,true,5,8,3,41.96709,-87.66744
TA1309000066,6,16,true,6,4,-2,41.9691,-87.67423
KA1504000171,6,16,true,7,6,-1,41.97161,-87.65016
TA1309000035,6,16,true,9,7,-2,41.97335,-87.66785
13109,6,16,true,6,7,1,41.97835,-87.65976
KA1504000152,6,16,true,17,18,1,41.98403,-87.65231
15578,6,16,true,6,3,-3,41.98405,-87.66027
15575,6,16,true,5,3,-2,41.98975,-87.66014
KA1503000014,6,17,false,2,7,5,41.7851,-87.60108
KA1503000074,6,17,false,11,1,-10,41.79174,-87.58395
TA1308000009,6,17,false,25,15,-10,41.79522,-87.58075
TA1307000164,6,17,false,3,6,3,41.79527,-87.59647
KA1503000059,6,17,false,5,5,0,41.79952,-87.58643
KA1503000007,6,17,false,9,11,2,41.80242,-87.58689
13398,6,17,false,1,5,4,41.80256,-87.59035
TA1308000038,6,17,false,5,1,-4,41.82298,-87.6071
KA1503000004,6,17,false,6,2,-4,41.83127,-87.6088
TA1307000048,6,17,false,18,14,-4,41.83855,-87.60821
TA1307000139,6,17,false,5,3,-2,41.84205,-87.61698
TA1305000001,6,17,false,4,7,3,41.85262,-87.6265
13075,6,17,false,9,13,4,41.8531,-87.63192
15545,6,17,false,5,7,2,41.85627,-87.61334
SL-006,6,17,false,3,8,5,41.8568,-87.63387
13102,6,17,false,15,13,-2,41.85762,-87.61942
13150,6,17,false,6,2,-4,41.85783,-87.62455
TA1307000159,6,17,false,1,6,5,41.8579,-87.6687
13164,6,17,false,7,3,-4,41.85818,-87.65648
SL-012,6,17,false,8,5,-3,41.86038,-87.62581
TA1307000124,6,17,false,6,15,9,41.86411,-87.62372
TA1309000001,6,17,false,7,4,-3,41.86488,-87.64708
13431,6,17,false,35,17,-18,41.8661,-87.60728
TA1305000002,6,17,false,18,6,-12,41.86721,-87.62597
15544,6,17,false,29,20,-9,41.86723,-87.61536
KA1706005007,6,17,false,8,9,1,41.86749,-87.63219
SL-005,6,17,false,28,29,1,41.8679,-87.62304
TA1309000010,6,17,false,22,23,1,41.87074,-87.62574
SL-009,6,17,false,4,6,2,41.87081,-87.63121
SL-008,6,17,false,9,7,-2,41.87209,-87.62956
SL-011,6,17,false,5,9,4,41.87256,-87.63356
623,6,17,false,21,21,0,41.87272,-87.62399
SL-007,6,17,false,5,9,4,41.87404,-87.6277
13326,6,17,false,1,5,4,41.87425,-87.63958
SL-010,6,17,false,7,8,1,41.87501,-87.63309
15541,6,17,false,42,28,-14,41.8758,-87.62086
TA1305000010,6,17,false,4,16,12,41.87623,-87.62444
624,6,17,false,4,6,2,41.87626,-87.62923
TA1305000035,6,17,false,11,6,-5,41.87716,-87.62787
15539,6,17,false,7,3,-4,41.87763,-87.64405
13158,6,17,false,4,7,3,41.87764,-87.64957
13157,6,17,false,8,6,-2,41.87773,-87.6548
TA1305000025,6,17,false,7,7,0,41.87773,-87.63528
