year_month,dayofweek,hour,IS_MEMBER,COUNT,AVG_DURATION
2021-2,6,22,true,91,15.010989011
2021-2,6,23,false,104,83.557692308
2021-2,6,23,true,133,28.804511278
2021-2,7,0,false,60,28.6
2021-2,7,0,true,71,11
2021-2,7,1,false,39,63.102564103
2021-2,7,1,true,40,11.425
2021-2,7,2,false,11,91.272727273
2021-2,7,2,true,15,88
2021-2,7,3,false,7,15
2021-2,7,3,true,8,10.875
2021-2,7,4,false,7,20.714285714
2021-2,7,4,true,6,10
2021-2,7,5,false,4,10.75
2021-2,7,5,true,27,8.37037037
2021-2,7,6,false,6,11.333333333
2021-2,7,6,true,57,13.894736842
2021-2,7,7,false,12,20.75
2021-2,7,7,true,82,15.219512195
2021-2,7,8,false,17,42.823529412
2021-2,7,8,true,87,17.287356322
2021-2,7,9,false,29,46.517241379
2021-2,7,9,true,144,14.833333333
2021-2,7,10,false,60,35.233333333
2021-2,7,10,true,192,28.03125
2021-2,7,11,false,96,42.416666667
2021-2,7,11,true,304,18.217105263
2021-2,7,12,false,141,34.262411348
2021-2,7,12,true,350,23.32
2021-2,7,13,false,163,32.981595092
2021-2,7,13,true,404,23.861386139
2021-2,7,14,false,152,67.276315789
2021-2,7,14,true,453,17.377483444
2021-2,7,15,false,146,32.095890411
2021-2,7,15,true,422,22.907582938
2021-2,7,16,false,122,40.696721311
2021-2,7,16,true,390,18.051282051
2021-2,7,17,false,109,97.376146789
2021-2,7,17,true,319,19.742946708
2021-2,7,18,false,46,18.086956522
2021-2,7,18,true,182,20.115384615
2021-2,7,19,false,42,21.047619048
2021-2,7,19,true,124,20.580645161
2021-2,7,20,false,22,54.636363636
2021-2,7,20,true,77,13.298701299
2021-2,7,21,false,32,55.9375
2021-2,7,21,true,66,13.863636364
2021-2,7,22,false,33,16.454545455
2021-2,7,22,true,55,75.472727273
2021-2,7,23,false,15,17.8
2021-2,7,23,true,42,59.523809524
